koen,vaegt,hoejde,alder,ryger
Kvinde,64,174,19,Ryger
Mand,75,170,37,Ryger
Kvinde,60,170,35,Ryger
Kvinde,72,168,47,Ryger ikke
Kvinde,55,171,24,Ryger ikke
Kvinde,66,180,26,Ryger ikke
Kvinde,63,173,28,Ryger ikke
Kvinde,55,163,28,Ryger ikke
Kvinde,54,165,32,Ryger
Kvinde,80,160,28,Ryger ikke
Kvinde,48,167,51,Ryger
Kvinde,64,177,23,Ryger ikke
Mand,58,175,23,Ryger ikke
Mand,NA,191,27,Ryger ikke
Mand,85,179,66,Ryger ikke
Mand,80,180,22,Ryger
Mand,79,186,27,Ryger
Mand,90,190,26,Ryger ikke
Mand,55,176,20,Ryger
Kvinde,53,171,22,Ryger
Mand,72,174,35,Ryger
Mand,62,168,84,Ryger ikke
Mand,63,174,50,Ryger
Kvinde,58,165,43,Ryger
Kvinde,78,170,24,Ryger ikke
Mand,81,190,43,Ryger
Kvinde,64,170,54,Ryger ikke
Mand,76,173,57,Ryger
Kvinde,62,169,26,Ryger ikke
Kvinde,61,162,45,Ryger ikke
Kvinde,NA,172,54,Ryger
Mand,60,174,53,Ryger
Kvinde,48,165,32,Ryger
Kvinde,72,160,61,Ryger ikke
Mand,85,178,44,Ryger ikke
Kvinde,50,148,39,Ryger
Mand,70,183,41,Ryger
Mand,76,166,81,Ryger ikke
Mand,50,160,59,Ryger
Kvinde,59,165,53,Ryger
Mand,68,168,32,Ryger ikke
Mand,80,176,32,Ryger ikke
Kvinde,60,174,34,Ryger ikke
Mand,85,184,30,Ryger ikke
Kvinde,86,169,21,Ryger ikke
Kvinde,78,159,67,Ryger ikke
Mand,85,187,44,Ryger ikke
Mand,60,174,31,Ryger
Kvinde,58,163,25,Ryger ikke
Mand,75,176,84,Ryger ikke
Mand,90,190,71,Ryger
Mand,75,183,27,Ryger ikke
Mand,102,193,30,Ryger ikke
Mand,90,174,51,Ryger
Kvinde,58,168,26,Ryger ikke
Mand,68,180,20,Ryger ikke
Mand,65,183,26,Ryger
Kvinde,63,175,21,Ryger
Mand,84,160,58,Ryger ikke
Kvinde,59,171,24,Ryger
Kvinde,55,164,45,Ryger
Mand,85,183,52,Ryger
Mand,90,180,64,Ryger
Kvinde,62,174,27,Ryger ikke
Mand,140,200,30,Ryger ikke
Kvinde,75,162,76,Ryger
Kvinde,65,173,26,Ryger ikke
Kvinde,69,178,20,Ryger ikke
Mand,79,182,21,Ryger ikke
Kvinde,58,157,41,Ryger
Kvinde,59,160,32,NA
Kvinde,55,171,27,Ryger ikke
Mand,85,183,31,Ryger
Kvinde,56,172,23,Ryger ikke
Mand,92,170,59,Ryger ikke
Mand,64,173,33,Ryger
Kvinde,63,172,60,Ryger ikke
Mand,60,173,29,Ryger
Kvinde,54,157,32,Ryger ikke
Mand,90,181,50,Ryger ikke
Mand,78,188,32,Ryger ikke
Mand,80,177,35,Ryger
Mand,76,180,28,Ryger ikke
Kvinde,61,172,40,Ryger
Mand,60,163,31,Ryger ikke
Mand,86,190,27,Ryger ikke
Kvinde,52,162,24,Ryger ikke
Kvinde,65,173,44,Ryger
Mand,65,175,67,Ryger
Mand,85,187,45,Ryger
Kvinde,69,172,26,Ryger ikke
Kvinde,59,163,24,Ryger ikke
Kvinde,59,168,55,Ryger
Mand,71,190,27,Ryger ikke
Mand,68,162,72,Ryger ikke
NA,70,177,26,Ryger
Kvinde,70,168,38,Ryger ikke
NA,NA,NA,NA,NA
Mand,82,192,24,Ryger ikke
Mand,75,194,23,Ryger ikke
Kvinde,68,175,20,Ryger ikke
Kvinde,48,158,45,Ryger
NA,NA,NA,NA,Ryger
Kvinde,84,169,59,Ryger
Kvinde,62,180,30,Ryger
Mand,85,175,23,Ryger ikke
Mand,74,175,23,Ryger
Kvinde,51,162,29,Ryger ikke
Mand,73,185,22,Ryger ikke
Kvinde,65,178,26,Ryger
Kvinde,67,176,23,Ryger
Mand,73,180,23,Ryger ikke
Mand,75,175,25,Ryger ikke
Mand,72,178,23,Ryger ikke
Kvinde,62,173,32,Ryger
Kvinde,78,173,64,Ryger ikke
Mand,72,181,33,Ryger ikke
Mand,86,187,30,Ryger
Mand,75,176,32,Ryger
Mand,72,191,28,Ryger ikke
Mand,67,172,26,Ryger
Kvinde,55,165,45,Ryger
